2022-10-19 19:14:22.821+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of bootstrap5-api for plugin junit
2022-10-19 19:14:22.822+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of font-awesome-api for plugin bootstrap5-api
2022-10-19 19:14:22.823+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of plugin-util-api for plugin font-awesome-api
2022-10-19 19:14:22.825+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of commons-lang3-api for plugin plugin-util-api
2022-10-19 19:14:22.826+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of commons-text-api for plugin plugin-util-api
2022-10-19 19:14:22.827+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of popper2-api for plugin bootstrap5-api
2022-10-19 19:14:22.828+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of echarts-api for plugin junit
2022-10-19 19:14:22.829+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jquery3-api for plugin echarts-api
2022-10-19 19:14:22.830+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of display-url-api for plugin junit
2022-10-19 19:14:22.830+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of script-security for plugin junit
2022-10-19 19:14:22.832+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of caffeine-api for plugin script-security
2022-10-19 19:14:22.833+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-step-api for plugin junit
2022-10-19 19:14:22.833+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of structs for plugin workflow-step-api
2022-10-19 19:14:22.836+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of checks-api for plugin junit
2022-10-19 19:14:22.837+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-support for plugin checks-api
2022-10-19 19:14:22.838+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of scm-api for plugin workflow-support
2022-10-19 19:14:22.840+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-api for plugin workflow-support
2022-10-19 19:14:22.843+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of matrix-project for plugin ws-cleanup
2022-10-19 19:14:22.843+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of resource-disposer for plugin ws-cleanup
2022-10-19 19:14:22.845+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of config-file-provider for plugin nodejs
2022-10-19 19:14:22.846+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of plain-credentials for plugin config-file-provider
2022-10-19 19:14:22.847+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of credentials for plugin plain-credentials
2022-10-19 19:14:22.847+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of ssh-credentials for plugin config-file-provider
2022-10-19 19:14:22.848+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of trilead-api for plugin ssh-credentials
2022-10-19 19:14:22.848+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of token-macro for plugin config-file-provider
2022-10-19 19:14:22.850+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-milestone-step for plugin workflow-aggregator
2022-10-19 19:14:22.854+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-build-step for plugin workflow-aggregator
2022-10-19 19:14:22.855+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-groovy-lib for plugin workflow-aggregator
2022-10-19 19:14:22.858+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-scm-step for plugin pipeline-groovy-lib
2022-10-19 19:14:22.858+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of cloudbees-folder for plugin pipeline-groovy-lib
2022-10-19 19:14:22.859+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of variant for plugin pipeline-groovy-lib
2022-10-19 19:14:22.859+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-cps for plugin pipeline-groovy-lib
2022-10-19 19:14:22.860+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of ace-editor for plugin workflow-cps
2022-10-19 19:14:22.861+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jdk-tool for plugin ace-editor
2022-10-19 19:14:22.863+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of command-launcher for plugin ace-editor
2022-10-19 19:14:22.864+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-model-definition for plugin workflow-aggregator
2022-10-19 19:14:22.865+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of credentials-binding for plugin pipeline-model-definition
2022-10-19 19:14:22.866+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-model-extensions for plugin pipeline-model-definition
2022-10-19 19:14:22.872+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-model-api for plugin pipeline-model-extensions
2022-10-19 19:14:22.874+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-stage-step for plugin pipeline-model-extensions
2022-10-19 19:14:22.875+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-job for plugin pipeline-model-extensions
2022-10-19 19:14:22.876+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of mailer for plugin pipeline-model-definition
2022-10-19 19:14:22.876+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jakarta-mail-api for plugin mailer
2022-10-19 19:14:22.876+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jakarta-activation-api for plugin jakarta-mail-api
2022-10-19 19:14:22.877+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-multibranch for plugin pipeline-model-definition
2022-10-19 19:14:22.877+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of branch-api for plugin workflow-multibranch
2022-10-19 19:14:22.878+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-durable-task-step for plugin pipeline-model-definition
2022-10-19 19:14:22.878+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of durable-task for plugin workflow-durable-task-step
2022-10-19 19:14:22.878+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-stage-tags-metadata for plugin pipeline-model-definition
2022-10-19 19:14:22.878+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of git-client for plugin pipeline-model-definition
2022-10-19 19:14:22.879+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of apache-httpcomponents-client-4-api for plugin git-client
2022-10-19 19:14:22.879+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of jsch for plugin git-client
2022-10-19 19:14:22.880+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of pipeline-input-step for plugin pipeline-model-definition
2022-10-19 19:14:22.880+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of workflow-basic-steps for plugin pipeline-model-definition
2022-10-19 19:14:22.883+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of okhttp-api for plugin github
2022-10-19 19:14:22.883+0000 [id=20]	INFO	hudson.model.UpdateSite$Plugin#deploy: Adding dependent install of github-api for plugin github
